Date,Shallot,Garlic,Rice,Chili pepper,Cayenne pepper,Broiler meat,Topside beef,Granulated sugar,Cooking oil,Chicken egg
11/11/16,40820,37359,10570,52410,51702,30397,111352,14286,14891,22402
11/12/16,40897,36971,10563,51898,51957,30502,113091,14224,14860,22269
11/13/16,40676,36971,10598,52141,52000,30326,113459,14304,14891,22141
11/14/16,42417,37741,10591,53259,51230,30929,113843,14288,14914,22413
11/15/16,42817,37901,10531,52465,49644,30814,114247,14319,14859,22498
11/16/16,43158,37811,10565,53801,48304,30879,114150,14326,14924,22383
11/17/16,43465,37634,10540,53686,48645,30760,114022,14253,14932,22427
11/18/16,43428,37897,10532,55009,48884,30771,113375,14286,14973,22339
11/19/16,43235,38313,10605,54728,52025,30438,113532,14209,14896,21887
11/20/16,42978,38397,10557,54688,51339,30407,113793,14268,14977,22101
11/21/16,43733,37959,10531,54034,48511,30832,113596,14289,14930,22311
11/22/16,43129,38082,10548,53733,46856,30881,113964,14301,14913,22416
11/23/16,42630,38037,10570,53314,46786,30766,113851,14294,14924,22382
11/24/16,42626,38011,10548,50900,45599,30920,113777,14278,14924,22499
11/25/16,42940,37995,10544,50395,45998,30851,112883,14277,14919,22391
11/26/16,43566,37875,10561,51016,45696,30498,113224,14191,17001,21809
11/27/16,43691,38051,10552,51320,45455,30387,113690,14221,14891,21828
11/28/16,42041,38017,10543,50811,44124,30705,113926,14289,14919,22485
11/29/16,41979,37929,10535,50295,43104,30439,114456,14240,14919,22385
11/30/16,42063,38083,10543,49442,42015,30204,114717,14186,14944,22671
12/1/16,41504,37941,10588,47965,42514,30234,114023,14238,14925,22748
12/2/16,41414,37946,10558,47943,43095,30530,113008,14212,14906,22824
12/3/16,41574,37912,10564,49344,44304,30333,113432,14224,14881,22154
12/4/16,41368,38044,10573,48859,43643,30341,113447,14213,14881,22196
12/5/16,40859,38042,10558,48961,46259,30672,113908,14226,14887,22703
12/6/16,40594,38153,10566,47820,45442,30738,113897,14226,14903,22786
12/7/16,40567,38302,10573,48137,46674,30885,113925,14159,14881,22827
12/8/16,40481,38036,10580,48526,46548,30993,113585,14082,14812,22637
12/9/16,40987,38121,10579,47680,46973,30780,113921,14186,14919,23342
